Plot,GS_Count,GS_Presence,Badger_Count,Badger_Presence,BRTE,POSE,NPG,EPG,TotalShrub,DispIndex_GS,Precip,STATSoil_PS,BurnFreq,Badg_Human,Badg_Grassland,GS_Human,GS_Grassland
106,14,1,1,1,84.31407041,0.446712018,0,0,0,0.18,289.6350098,98.25,2,25.43135784,71.83045761,3.652968037,94.06392694
107,18,1,0,0,81.36217163,2.611600084,0,0,0,0.14,289.6350098,98.25,2,12.88659794,87.11340206,0,100
110,28,1,7,1,84.46929425,3.830282629,0,0,0.801832761,0.094299033,291.8250122,98.25,1,0.037593985,99.69924812,0,99.77037887
114,5,1,0,0,1.274057875,10.69708283,0,0,28.79081369,0.077781746,259.678009,98.06,1,0.113378685,87.75510204,0,80.29953917
115,22,1,1,1,30.41778283,15.18384961,0,0,0,0.01767767,265.901001,98.06,1,0,66.36029412,0,91.93548387
125,12,1,2,1,25.85034014,22.56235828,0,0,5.446712018,0.015689291,294.151001,96.25,1,8.067542214,77.3358349,0,98.40182648
128,21,1,2,1,60.24810463,8.240179574,0.111111111,0,0.673400673,0.03928371,307.8900146,96.25,1,0,83.63363363,0,90.03436426
130,15,1,1,1,32.59647812,0.680272109,0,0,20.63190338,0.033711815,268.7369995,96.25,1,8.674427338,91.28802103,12.39954076,87.60045924
132,11,1,0,0,4.796857464,0.448933782,0,0,0.558922559,0.011452743,227.9160004,96.25,2,7.843137255,92.15686275,11.09839817,88.90160183
134,22,1,0,0,93.33106576,0.111111111,0,0,0,0.005749889,224.0410004,96.25,3,10.0975976,89.9024024,2.4,97.6
135,9,1,1,1,11.91105499,0.673400673,0.224466891,0,0,0.014055284,215.2380066,96.25,2,27.421875,72.578125,41.71428571,58.28571429
136,25,1,1,1,39.56981036,18.18324355,0,0,0,0.009245003,255.3990021,96.25,2,4.724409449,95.27559055,3.103448276,96.89655172
139,14,1,0,0,48.6181417,19.13524744,0,0,0,0.01767767,255.3990021,96.25,3,6.652452026,92.1108742,10.01150748,89.87341772
144,28,1,4,1,40.65073202,6.698552961,0,0,0,0,263.1910095,96.25,3,2.488687783,97.32277526,0.228571429,99.77142857
145,0,0,1,1,63.58063629,3.040816327,0,2.464646465,0,0.003846154,265.0820007,96.25,3,4.855491329,89.8265896,2.06185567,93.81443299
148,1,0,0,0,44.82232121,3.270053788,0,10.10924496,0,0,209.8110046,96.25,3,27.65718563,69.91017964,13.33333333,86.66666667
152,55,1,4,1,8.953438823,8.042081757,0,5.860768897,3.915824916,0.018549963,257.0490112,96.25,2,4.151084518,90.57591623,0.57208238,95.99542334
153,0,0,1,1,70.56835266,8.505208333,0,0,0,0,214.0169983,97.5,2,59.82008996,40.17991004,68.0778032,31.9221968
